,PMID,Type,Content,MaxLine
43,15207008,a,"
Abstract

Background

Examination of ancient gene families can provide an insight into how the evolution of gene structure can relate to function. Functional homologs of the evolutionarily conserved transforming acidic coiled coil (TACC) gene family are present in organisms from yeast to man. However, correlations between functional interactions and the evolution of these proteins have yet to be determined.

Results

We have performed an extensive database analysis to determine the genomic and cDNA sequences of the TACCs from phylogenetically diverse organisms. This analysis has determined the phylogenetic relationship of the TACC proteins to other coiled coil proteins, the resolution of the placement of the rabbit TACC4 as the orthologue of human TACC3, and RHAMM as a distinct family of coiled coil proteins. We have also extended the analysis of the TACCs to the interaction databases of C. elegans and D. melanogaster to identify potentially novel TACC interactions. The validity of this modeling was confirmed independently by the demonstration of direct binding of human TACC2 to the nuclear hormone receptor RXRβ.

Conclusion

The data so far suggest that the ancestral TACC protein played a role in centrosomal/mitotic spindle dynamics. TACC proteins were then recruited to complexes involved in protein translation, RNA processing and transcription by interactions with specific bridging proteins. However, during evolution, the TACC proteins have now acquired the ability to directly interact with components of these complexes (such as the LSm proteins, nuclear hormone receptors, GAS41, and transcription factors). This suggests that the function of the TACC proteins may have evolved from performing assembly or coordination functions in the centrosome to include a more intimate role in the functional evolution of chromatin remodeling, transcriptional and posttranscriptional complexes in the cell.

",2059.0
44,15238161,t,"Hedgehog can drive terminal differentiation of amniote slow skeletal muscle
",
45,15238161,a,"
Abstract

Background

Secreted Hedgehog (Hh) signalling molecules have profound influences on many developing and regenerating tissues. Yet in most vertebrate tissues it is unclear which Hh-responses are the direct result of Hh action on a particular cell type because Hhs frequently elicit secondary signals. In developing skeletal muscle, Hhs promote slow myogenesis in zebrafish and are involved in specification of medial muscle cells in amniote somites. However, the extent to which non-myogenic cells, myoblasts or differentiating myocytes are direct or indirect targets of Hh signalling is not known.

Results

We show that Sonic hedgehog (Shh) can act directly on cultured C2 myoblasts, driving Gli1 expression, myogenin up-regulation and terminal differentiation, even in the presence of growth factors that normally prevent differentiation. Distinct myoblasts respond differently to Shh: in some slow myosin expression is increased, whereas in others Shh simply enhances terminal differentiation. Exposure of chick wing bud cells to Shh in culture increases numbers of both muscle and non-muscle cells, yet simultaneously enhances differentiation of myoblasts. The small proportion of differentiated muscle cells expressing definitive slow myosin can be doubled by Shh. Shh over-expression in chick limb bud reduces muscle mass at early developmental stages while inducing ectopic slow muscle fibre formation. Abundant later-differentiating fibres, however, do not express extra slow myosin. Conversely, Hh loss of function in the limb bud, caused by implanting hybridoma cells expressing a functionally blocking anti-Hh antibody, reduces early slow muscle formation and differentiation, but does not prevent later slow myogenesis. Analysis of Hh knockout mice indicates that Shh promotes early somitic slow myogenesis.

Conclusions

Taken together, the data show that Hh can have direct pro-differentiative effects on myoblasts and that early-developing muscle requires Hh for normal differentiation and slow myosin expression. We propose a simple model of how direct and indirect effects of Hh regulate early limb myogenesis.

",2216.0
46,15314655,t,"The Zebrafish moonshine Gene Encodes Transcriptional Intermediary Factor 1γ, an Essential Regulator of Hematopoiesis
",
47,15314655,a,"
Abstract

Hematopoiesis is precisely orchestrated by lineage-specific DNA-binding proteins that regulate transcription in concert with coactivators and corepressors. Mutations in the zebrafish moonshine (mon) gene specifically disrupt both embryonic and adult hematopoiesis, resulting in severe red blood cell aplasia. We report that mon encodes the zebrafish ortholog of mammalian transcriptional intermediary factor 1γ (TIF1γ) (or TRIM33), a member of the TIF1 family of coactivators and corepressors. During development, hematopoietic progenitor cells in mon mutants fail to express normal levels of hematopoietic transcription factors, including gata1, and undergo apoptosis. Three different mon mutant alleles each encode premature stop codons, and enforced expression of wild-type tif1γ mRNA rescues embryonic hematopoiesis in homozygous mon mutants. Surprisingly, a high level of zygotic tif1γ mRNA expression delineates ventral mesoderm during hematopoietic stem cell and progenitor formation prior to gata1 expression. Transplantation studies reveal that tif1γ functions in a cell-autonomous manner during the differentiation of erythroid precursors. Studies in murine erythroid cell lines demonstrate that Tif1γ protein is localized within novel nuclear foci, and expression decreases during erythroid cell maturation. Our results establish a major role for this transcriptional intermediary factor in the differentiation of hematopoietic cells in vertebrates.
",1589.0
48,15314659,t,"Spontaneous Autoimmunity in 129 and C57BL/6 Mice—Implications for Autoimmunity Described in Gene-Targeted Mice
",
49,15314659,a,"
Abstract

Systemic lupus erythematosus (SLE) is a multisystem autoimmune disorder in which complex genetic factors play an important role. Several strains of gene-targeted mice have been reported to develop SLE, implicating the null genes in the causation of disease. However, hybrid strains between 129 and C57BL/6 mice, widely used in the generation of gene-targeted mice, develop spontaneous autoimmunity. Furthermore, the genetic background markedly influences the autoimmune phenotype of SLE in gene-targeted mice. This suggests an important role in the expression of autoimmunity of as-yet-uncharacterised background genes originating from these parental mouse strains. Using genome-wide linkage analysis, we identified several susceptibility loci, derived from 129 and C57BL/6 mice, mapped in the lupus-prone hybrid (129 × C57BL/6) model. By creating a C57BL/6 congenic strain carrying a 129-derived Chromosome 1 segment, we found that this 129 interval was sufficient to mediate the loss of tolerance to nuclear antigens, which had previously been attributed to a disrupted gene. These results demonstrate important epistatic modifiers of autoimmunity in 129 and C57BL/6 mouse strains, widely used in gene targeting. These background gene influences may account for some, or even all, of the autoimmune traits described in some gene-targeted models of SLE.
",1477.0
50,15320950,t,"Loss of KCNJ10 protein expression abolishes endocochlear potential and causes deafness in Pendred syndrome mouse model
",
51,15320950,a,"
Abstract

Background

Pendred syndrome, a common autosomal-recessive disorder characterized by congenital deafness and goiter, is caused by mutations of SLC26A4, which codes for pendrin. We investigated the relationship between pendrin and deafness using mice that have (Slc26a4+/+) or lack a complete Slc26a4 gene (Slc26a4-/-).

Methods

Expression of pendrin and other proteins was determined by confocal immunocytochemistry. Expression of mRNA was determined by quantitative RT-PCR. The endocochlear potential and the endolymphatic K+ concentration were measured with double-barreled microelectrodes. Currents generated by the stria marginal cells were recorded with a vibrating probe. Tissue masses were evaluated by morphometric distance measurements and pigmentation was quantified by densitometry.

Results

Pendrin was found in the cochlea in apical membranes of spiral prominence cells and spindle-shaped cells of stria vascularis, in outer sulcus and root cells. Endolymph volume in Slc26a4-/- mice was increased and tissue masses in areas normally occupied by type I and II fibrocytes were reduced. Slc26a4-/- mice lacked the endocochlear potential, which is generated across the basal cell barrier by the K+ channel KCNJ10 localized in intermediate cells. Stria vascularis was hyperpigmented, suggesting unalleviated free radical damage. The basal cell barrier appeared intact; intermediate cells and KCNJ10 mRNA were present but KCNJ10 protein was absent. Endolymphatic K+ concentrations were normal and membrane proteins necessary for K+ secretion were present, including the K+ channel KCNQ1 and KCNE1, Na+/2Cl-/K+ cotransporter SLC12A2 and the gap junction GJB2.

Conclusions

These observations demonstrate that pendrin dysfunction leads to a loss of KCNJ10 protein expression and a loss of the endocochlear potential, which may be the direct cause of deafness in Pendred syndrome.

",2020.0
52,15328533,t,"Regulation of Muscle Fiber Type and Running Endurance by PPARδ
",
53,15328533,a,"
Abstract

Endurance exercise training can promote an adaptive muscle fiber transformation and an increase of mitochondrial biogenesis by triggering scripted changes in gene expression. However, no transcription factor has yet been identified that can direct this process. We describe the engineering of a mouse capable of continuous running of up to twice the distance of a wild-type littermate. This was achieved by targeted expression of an activated form of peroxisome proliferator-activated receptor δ (PPARδ) in skeletal muscle, which induces a switch to form increased numbers of type I muscle fibers. Treatment of wild-type mice with PPARδ agonist elicits a similar type I fiber gene expression profile in muscle. Moreover, these genetically generated fibers confer resistance to obesity with improved metabolic profiles, even in the absence of exercise. These results demonstrate that complex physiologic properties such as fatigue, endurance, and running capacity can be molecularly analyzed and manipulated.
",1082.0
54,15328538,t,"Loss of Skeletal Muscle HIF-1α Results in Altered Exercise Endurance
",
55,15328538,a,"
Abstract

The physiological flux of oxygen is extreme in exercising skeletal muscle. Hypoxia is thus a critical parameter in muscle function, influencing production of ATP, utilization of energy-producing substrates, and manufacture of exhaustion-inducing metabolites. Glycolysis is the central source of anaerobic energy in animals, and this metabolic pathway is regulated under low-oxygen conditions by the transcription factor hypoxia-inducible factor 1α (HIF-1α). To determine the role of HIF-1α in regulating skeletal muscle function, we tissue-specifically deleted the gene encoding the factor in skeletal muscle. Significant exercise-induced changes in expression of genes are decreased or absent in the skeletal-muscle HIF-1α knockout mice (HIF-1α KOs); changes in activities of glycolytic enzymes are seen as well. There is an increase in activity of rate-limiting enzymes of the mitochondria in the muscles of HIF-1α KOs, indicating that the citric acid cycle and increased fatty acid oxidation may be compensating for decreased flow through the glycolytic pathway. This is corroborated by a finding of no significant decreases in muscle ATP, but significantly decreased amounts of lactate in the serum of exercising HIF-1α KOs. This metabolic shift away from glycolysis and toward oxidation has the consequence of increasing exercise times in the HIF-1α KOs. However, repeated exercise trials give rise to extensive muscle damage in HIF-1α KOs, ultimately resulting in greatly reduced exercise times relative to wild-type animals. The muscle damage seen is similar to that detected in humans in diseases caused by deficiencies in skeletal muscle glycogenolysis and glycolysis. Thus, these results demonstrate an important role for the HIF-1 pathway in the metabolic control of muscle function.
",1875.0
56,15345036,t,"The phosphatidylserine receptor has essential functions during embryogenesis but not in apoptotic cell removal
",
57,15345036,a,"
Abstract

Background

Phagocytosis of apoptotic cells is fundamental to animal development, immune function and cellular homeostasis. The phosphatidylserine receptor (Ptdsr) on phagocytes has been implicated in the recognition and engulfment of apoptotic cells and in anti-inflammatory signaling. To determine the biological function of the phosphatidylserine receptor in vivo, we inactivated the Ptdsr gene in the mouse.

Results

Ablation of Ptdsr function in mice causes perinatal lethality, growth retardation and a delay in terminal differentiation of the kidney, intestine, liver and lungs during embryogenesis. Moreover, eye development can be severely disturbed, ranging from defects in retinal differentiation to complete unilateral or bilateral absence of eyes. Ptdsr -/- mice with anophthalmia develop novel lesions, with induction of ectopic retinal-pigmented epithelium in nasal cavities. A comprehensive investigation of apoptotic cell clearance in vivo and in vitro demonstrated that engulfment of apoptotic cells was normal in Ptdsr knockout mice, but Ptdsr-deficient macrophages were impaired in pro- and anti-inflammatory cytokine signaling after stimulation with apoptotic cells or with lipopolysaccharide.

Conclusion

Ptdsr is essential for the development and differentiation of multiple organs during embryogenesis but not for apoptotic cell removal. Ptdsr may thus have a novel, unexpected developmental function as an important differentiation-promoting gene. Moreover, Ptdsr is not required for apoptotic cell clearance by macrophages but seems to be necessary for the regulation of macrophage cytokine responses. These results clearly contradict the current view that the phosphatidylserine receptor primarily functions in apoptotic cell clearance.

",1889.0
58,15492776,t,"BMP Receptor Signaling Is Required for Postnatal Maintenance of Articular Cartilage
",
59,15492776,a,"
Abstract

Articular cartilage plays an essential role in health and mobility, but is frequently damaged or lost in millions of people that develop arthritis. The molecular mechanisms that create and maintain this thin layer of cartilage that covers the surface of bones in joint regions are poorly understood, in part because tools to manipulate gene expression specifically in this tissue have not been available. Here we use regulatory information from the mouse Gdf5 gene (a bone morphogenetic protein [BMP] family member) to develop new mouse lines that can be used to either activate or inactivate genes specifically in developing joints. Expression of Cre recombinase from Gdf5 bacterial artificial chromosome clones leads to specific activation or inactivation of floxed target genes in developing joints, including early joint interzones, adult articular cartilage, and the joint capsule. We have used this system to test the role of BMP receptor signaling in joint development. Mice with null mutations in Bmpr1a are known to die early in embryogenesis with multiple defects. However, combining a floxed Bmpr1a allele with the Gdf5-Cre driver bypasses this embryonic lethality, and leads to birth and postnatal development of mice missing the Bmpr1a gene in articular regions. Most joints in the body form normally in the absence of Bmpr1a receptor function. However, articular cartilage within the joints gradually wears away in receptor-deficient mice after birth in a process resembling human osteoarthritis. Gdf5-Cre mice provide a general system that can be used to test the role of genes in articular regions. BMP receptor signaling is required not only for early development and creation of multiple tissues, but also for ongoing maintenance of articular cartilage after birth. Genetic variation in the strength of BMP receptor signaling may be an important risk factor in human osteoarthritis, and treatments that mimic or augment BMP receptor signaling should be investigated as a possible therapeutic strategy for maintaining the health of joint linings.
",2159.0
60,15550985,t,"A Chemoattractant Role for NT-3 in Proprioceptive Axon Guidance
",
61,15550985,a,"
Abstract

Neurotrophin-3 (NT-3) is required for proprioceptive neuron survival. Deletion of the proapoptotic gene Bax in NT-3 knockout mice rescues these neurons and allows for examination of their axon growth in the absence of NT-3 signaling. TrkC-positive peripheral and central axons from dorsal root ganglia follow proper trajectories and arrive in close proximity to their targets but fail to innervate them. Peripherally, muscle spindles are absent and TrkC-positive axons do not enter their target muscles. Centrally, proprioceptive axons branch in ectopic regions of the spinal cord, even crossing the midline. In vitro assays reveal chemoattractant effects of NT-3 on dorsal root ganglion axons. Our results show that survival factor NT-3 acts as a short-distance axon guidance molecule for muscle sensory afferents as they approach their proper targets.
",929.0
62,15560850,t,"BAG-1 haplo-insufficiency impairs lung tumorigenesis
",
63,15560850,a,"
Abstract

Background

BAG-1 is a multifunctional co-chaperone of heat shock proteins (Hsc70/Hsp70) that is expressed in most cells. It interacts with Bcl-2 and Raf indicating that it might connect protein folding with other signaling pathways. Evidence that BAG-1 expression is frequently altered in human cancers, in particular in breast cancer, relative to normal cells has been put forward but the notion that overexpression of BAG-1 contributes to poor prognosis in tumorigenesis remains controversial.

Methods

We have evaluated the effect of BAG-1 heterozygosity in mice in a model of non-small-cell lung tumorigenesis with histological and molecular methods. We have generated mice heterozygous for BAG-1, carrying a BAG-1 null allele, that in addition express oncogenic, constitutively active C-Raf kinase (SP-C C-Raf BxB) in type II pneumocytes. SP-C C-Raf BxB mice develop multifocal adenomas early in adulthood.

Results

We show that BAG-1 heterozygosity in mice impairs C-Raf oncogene-induced lung adenoma growth. Lung tumor initiation was reduced by half in BAG-1 heterozygous SP-C C-Raf BxB mice compared to their littermates. Tumor area was reduced by 75% in 4 month lungs of BAG-1 haploinsufficient mice compared to mice with two BAG-1 copies. Whereas BAG-1 heterozygosity did not affect the rate of cell proliferation or signaling through the mitogenic cascade in adenoma cells, it increased the rate of apoptosis.

Conclusion

Reduced BAG-1 expression specifically targets tumor cells to apoptosis and impairs tumorigenesis. Our data implicate BAG-1 as a key player in oncogenic transformation by Raf and identify it as a potential molecular target for cancer treatment.

",1746.0
64,15588329,t,"Membrane trafficking and mitochondrial abnormalities precede subunit c deposition in a cerebellar cell model of juvenile neuronal ceroid lipofuscinosis
",
65,15588329,a,"
Abstract

Background

JNCL is a recessively inherited, childhood-onset neurodegenerative disease most-commonly caused by a ~1 kb CLN3 mutation. The resulting loss of battenin activity leads to deposition of mitochondrial ATP synthase, subunit c and a specific loss of CNS neurons. We previously generated Cln3Δex7/8 knock-in mice, which replicate the common JNCL mutation, express mutant battenin and display JNCL-like pathology.

Results

To elucidate the consequences of the common JNCL mutation in neuronal cells, we used P4 knock-in mouse cerebella to establish conditionally immortalized CbCln3 wild-type, heterozygous, and homozygous neuronal precursor cell lines, which can be differentiated into MAP-2 and NeuN-positive, neuron-like cells. Homozygous CbCln3Δex7/8 precursor cells express low levels of mutant battenin and, when aged at confluency, accumulate ATPase subunit c. Recessive phenotypes are also observed at sub-confluent growth; cathepsin D transport and processing are altered, although enzyme activity is not significantly affected, lysosomal size and distribution are altered, and endocytosis is reduced. In addition, mitochondria are abnormally elongated, cellular ATP levels are decreased, and survival following oxidative stress is reduced.

Conclusions

These findings reveal that battenin is required for intracellular membrane trafficking and mitochondrial function. Moreover, these deficiencies are likely to be early events in the JNCL disease process and may particularly impact neuronal survival.

",1684.0
66,15615595,t,"Identification of cardiac malformations in mice lacking Ptdsr using a novel high-throughput magnetic resonance imaging technique
",
67,15615595,a,"
Abstract

Background

Congenital heart defects are the leading non-infectious cause of death in children. Genetic studies in the mouse have been crucial to uncover new genes and signaling pathways associated with heart development and congenital heart disease. The identification of murine models of congenital cardiac malformations in high-throughput mutagenesis screens and in gene-targeted models is hindered by the opacity of the mouse embryo.

Results

We developed and optimized a novel method for high-throughput multi-embryo magnetic resonance imaging (MRI). Using this approach we identified cardiac malformations in phosphatidylserine receptor (Ptdsr) deficient embryos. These included ventricular septal defects, double-outlet right ventricle, and hypoplasia of the pulmonary artery and thymus. These results indicate that Ptdsr plays a key role in cardiac development.

Conclusions

Our novel multi-embryo MRI technique enables high-throughput identification of murine models for human congenital cardiopulmonary malformations at high spatial resolution. The technique can be easily adapted for mouse mutagenesis screens and, thus provides an important new tool for identifying new mouse models for human congenital heart diseases.

",1375.0
68,15619330,t,"Dynamic in vivo imaging and cell tracking using a histone fluorescent protein fusion in mice
",
69,15619330,a,"
Abstract

Background

Advances in optical imaging modalities and the continued evolution of genetically-encoded fluorescent proteins are coming together to facilitate the study of cell behavior at high resolution in living organisms. As a result, imaging using autofluorescent protein reporters is gaining popularity in mouse transgenic and targeted mutagenesis applications.

Results

We have used embryonic stem cell-mediated transgenesis to label cells at sub-cellular resolution in vivo, and to evaluate fusion of a human histone protein to green fluorescent protein for ubiquitous fluorescent labeling of nucleosomes in mice. To this end we have generated embryonic stem cells and a corresponding strain of mice that is viable and fertile and exhibits widespread chromatin-localized reporter expression. High levels of transgene expression are maintained in a constitutive manner. Viability and fertility of homozygous transgenic animals demonstrates that this reporter is developmentally neutral and does not interfere with mitosis or meiosis.

Conclusions

Using various optical imaging modalities including wide-field, spinning disc confocal, and laser scanning confocal and multiphoton excitation microscopy, we can identify cells in various stages of the cell cycle. We can identify cells in interphase, cells undergoing mitosis or cell death. We demonstrate that this histone fusion reporter allows the direct visualization of active chromatin in situ. Since this reporter segments three-dimensional space, it permits the visualization of individual cells within a population, and so facilitates tracking cell position over time. It is therefore attractive for use in multidimensional studies of in vivo cell behavior and cell fate.

",1839.0
70,15630473,t,"A Signaling Pathway Involving TGF-β2 and Snail in Hair Follicle Morphogenesis
",
71,15630473,a,"
Abstract

In a common theme of organogenesis, certain cells within a multipotent epithelial sheet exchange signals with their neighbors and develop into a bud structure. Using hair bud morphogenesis as a paradigm, we employed mutant mouse models and cultured keratinocytes to dissect the contributions of multiple extracellular cues in orchestrating adhesion dynamics and proliferation to shape the cluster of cells involved. We found that transforming growth factor β2 signaling is necessary to transiently induce the transcription factor Snail and activate the Ras-mitogen-activated protein kinase (MAPK) pathway in the bud. In the epidermis, Snail misexpression leads to hyperproliferation and a reduction in intercellular adhesion. When E-cadherin is transcriptionally down-regulated, associated adhesion proteins with dual functions in signaling are released from cell-cell contacts, a process which we demonstrate leads to Ras-MAPK activation. These studies provide insights into how multipotent cells within a sheet are stimulated to undergo transcriptional changes that result in proliferation, junctional remodeling, and bud formation. This novel signaling pathway further weaves together the web of different morphogens and downstream transcriptional events that guide hair bud formation within the developing skin.
",1405.0
72,15676071,t,"Synaptogenesis and outer segment formation are perturbed in the neural retina of Crx mutant mice
",
73,15676071,a,"
Abstract

Background

In Leber's congenital amaurosis (LCA), affected individuals are blind, or nearly so, from birth. This early onset suggests abnormal development of the neural retina. Mutations in genes that affect the development and/or function of photoreceptor cells have been found to be responsible in some families. These examples include mutations in the photoreceptor transcription factor, Crx.

Results

A Crx mutant strain of mice was created to serve as a model for LCA and to provide more insight into Crx's function. In this study, an ultrastructural analysis of the developing retina in Crx mutant mice was performed. Outer segment morphogenesis was found to be blocked at the elongation stage, leading to a failure in production of the phototransduction apparatus. Further, Crx-/- photoreceptors demonstrated severely abnormal synaptic endings in the outer plexiform layer.

Conclusions

This is the first report of a synaptogenesis defect in an animal model for LCA. These data confirm the essential role this gene plays in multiple aspects of photoreceptor development and extend our understanding of the basic pathology of LCA.

",1249.0
74,15760270,t,"PGC-1α Deficiency Causes Multi-System Energy Metabolic Derangements: Muscle Dysfunction, Abnormal Weight Control and Hepatic Steatosis
",
75,15760270,a,"
Abstract

The gene encoding the transcriptional coactivator peroxisome proliferator-activated receptor-γ coactivator-1α (PGC-1α) was targeted in mice. PGC-1α null (PGC-1α−/−) mice were viable. However, extensive phenotyping revealed multi-system abnormalities indicative of an abnormal energy metabolic phenotype. The postnatal growth of heart and slow-twitch skeletal muscle, organs with high mitochondrial energy demands, is blunted in PGC-1α−/− mice. With age, the PGC-1α−/− mice develop abnormally increased body fat, a phenotype that is more severe in females. Mitochondrial number and respiratory capacity is diminished in slow-twitch skeletal muscle of PGC-1α−/− mice, leading to reduced muscle performance and exercise capacity. PGC-1α−/− mice exhibit a modest diminution in cardiac function related largely to abnormal control of heart rate. The PGC-1α−/− mice were unable to maintain core body temperature following exposure to cold, consistent with an altered thermogenic response. Following short-term starvation, PGC-1α−/− mice develop hepatic steatosis due to a combination of reduced mitochondrial respiratory capacity and an increased expression of lipogenic genes. Surprisingly, PGC-1α−/− mice were less susceptible to diet-induced insulin resistance than wild-type controls. Lastly, vacuolar lesions were detected in the central nervous system of PGC-1α−/− mice. These results demonstrate that PGC-1α is necessary for appropriate adaptation to the metabolic and physiologic stressors of postnatal life.
",1657.0
76,15784609,t,"Conditional and inducible transgene expression in mice through the combinatorial use of Cre-mediated recombination and tetracycline induction
",
77,15784609,a,"
Abstract

Here we describe a triple transgenic mouse system, which combines the tissue specificity of any Cre-transgenic line with the inducibility of the reverse tetracycline transactivator (rtTA)/tetracycline-responsive element (tet-O)-driven transgenes. To ensure reliable rtTA expression in a broad range of cell types, we have targeted the rtTA transgene into the ROSA26 locus. The rtTA expression, however, is conditional to a Cre recombinase-mediated excision of a STOP region from the ROSA26 locus. We demonstrate the utility of this technology through the inducible expression of the vascular endothelial growth factor (VEGF-A) during embryonic development and postnatally in adult mice. Our results of adult induction recapitulate several different hepatic and immune cell pathological phenotypes associated with increased systemic VEGF-A protein levels. This system will be useful for studying genes in which temporal control of expression is necessary for the discovery of the full spectrum of functions. The presented approach abrogates the need to generate tissue-specific rtTA transgenes for tissues where well-characterized Cre lines already exist.
",1308.0
78,15819996,t,"Nuclear localization of Annexin A7 during murine brain development
",
79,15819996,a,"
Abstract

Background

Annexin A7 is a member of the annexin protein family, which is characterized by its ability to interact with phospholipids in the presence of Ca2+-ions and which is thought to function in Ca2+-homeostasis. Results from mutant mice showed altered Ca2+-wave propagation in astrocytes. As the appearance and distribution of Annexin A7 during brain development has not been investigated so far, we focused on the distribution of Annexin A7 protein during mouse embryogenesis in the developing central nervous system and in the adult mouse brain.

Results

Annexin A7 is expressed in cells of the developing brain where a change in its subcellular localization from cytoplasm to nucleus was observed. In the adult CNS, the subcellular distribution of Annexin A7 depends on the cell type. By immunohistochemistry analysis Annexin A7 was detected in the cytosol of undifferentiated cells at embryonic days E5–E8. At E11–E15 the protein is still present in the cytosol of cells predominantly located in the ventricular germinative zone surrounding the lateral ventricle. Later on, at embryonic day E16, Annexin A7 in cells of the intermediate and marginal zone of the neopallium translocates to the nucleus. Neuronal cells of all areas in the adult brain present Annexin A7 in the nucleus, whereas glial fibrillary acidic protein (GFAP)-positive astrocytes exhibit both, a cytoplasmic and nuclear staining. The presence of nuclear Annexin A7 was confirmed by extraction of the nucleoplasm from isolated nuclei obtained from neuronal and astroglial cell lines.

Conclusion

We have demonstrated a translocation of Annexin A7 to nuclei of cells in early murine brain development and the presence of Annexin A7 in nuclei of neuronal cells in the adult animal. The role of Annexin A7 in nuclei of differentiating and mature neuronal cells remains elusive.

",1935.0
80,15836427,t,"A Developmental Switch in the Response of DRG Neurons to ETS Transcription Factor Signaling
",
81,15836427,a,"
Abstract

Two ETS transcription factors of the Pea3 subfamily are induced in subpopulations of dorsal root ganglion (DRG) sensory and spinal motor neurons by target-derived factors. Their expression controls late aspects of neuronal differentiation such as target invasion and branching. Here, we show that the late onset of ETS gene expression is an essential requirement for normal sensory neuron differentiation. We provide genetic evidence in the mouse that precocious ETS expression in DRG sensory neurons perturbs axonal projections, the acquisition of terminal differentiation markers, and their dependence on neurotrophic support. Together, our findings indicate that DRG sensory neurons exhibit a temporal developmental switch that can be revealed by distinct responses to ETS transcription factor signaling at sequential steps of neuronal maturation.
",954.0
82,15850489,t,"GABAA receptor γ2 subunit knockdown mice have enhanced anxiety-like behavior but unaltered hypnotic response to benzodiazepines
",
83,15850489,a,"
Abstract

Background

Gamma-aminobutyric acid type A receptors (GABAA-Rs) are the major inhibitory receptors in the mammalian brain and are modulated by a number of sedative/hypnotic drugs including benzodiazepines and anesthetics. The significance of specific GABAA-Rs subunits with respect to behavior and in vivo drug responses is incompletely understood. The γ2 subunit is highly expressed throughout the brain. Global γ2 knockout mice are insensitive to the hypnotic effects of diazepam and die perinatally. Heterozygous γ2 global knockout mice are viable and have increased anxiety-like behaviors. To further investigate the role of the γ2 subunit in behavior and whole animal drug action, we used gene targeting to create a novel mouse line with attenuated γ2 expression, i.e., γ2 knockdown mice.

Results

Knockdown mice were created by inserting a neomycin resistance cassette into intron 8 of the γ2 gene. Knockdown mice, on average, showed a 65% reduction of γ2 subunit mRNA compared to controls; however γ2 gene expression was highly variable in these mice, ranging from 10–95% of normal. Immunohistochemical studies demonstrated that γ2 protein levels were also variably reduced. Pharmacological studies using autoradiography on frozen brain sections demonstrated that binding of the benzodiazepine site ligand Ro15-4513 was decreased in mutant mice compared to controls. Behaviorally, knockdown mice displayed enhanced anxiety-like behaviors on the elevated plus maze and forced novelty exploration tests. Surprisingly, mutant mice had an unaltered response to hypnotic doses of the benzodiazepine site ligands diazepam, midazolam and zolpidem as well as ethanol and pentobarbital. Lastly, we demonstrated that the γ2 knockdown mouse line can be used to create γ2 global knockout mice by crossing to a general deleter cre-expressing mouse line.

Conclusion

We conclude that: 1) insertion of a neomycin resistance gene into intron 8 of the γ2 gene variably reduced the amount of γ2, and that 2) attenuated expression of γ2 increased anxiety-like behaviors but did not lead to differences in the hypnotic response to benzodiazepine site ligands. This suggests that reduced synaptic inhibition can lead to a phenotype of increased anxiety-like behavior. In contrast, normal drug effects can be maintained despite a dramatic reduction in GABAA-R targets.

",2496.0
84,15876356,t,"Ataxia and peripheral nerve hypomyelination in ADAM22-deficient mice
",
85,15876356,a,"
Abstract

Background

ADAM22 is a member of the ADAM gene family, but the fact that it is expressed only in the nervous systems makes it unique. ADAM22's sequence similarity to other ADAMs suggests it to be an integrin binder and thus to have a role in cell-cell or cell-matrix interactions. To elucidate the physiological functions of ADAM22, we employed gene targeting to generate ADAM22 knockout mice.

Results

ADAM22-deficient mice were produced in a good accordance with the Mendelian ratio and appeared normal at birth. After one week, severe ataxia was observed, and all homozygotes died before weaning, probably due to convulsions. No major histological abnormalities were detected in the cerebral cortex or cerebellum of the homozygous mutants; however, marked hypomyelination of the peripheral nerves was observed.

Conclusion

The results of our study demonstrate that ADAM22 is closely involved in the correct functioning of the nervous system. Further analysis of ADAM22 will provide clues to understanding the mechanisms of human diseases such as epileptic seizures and peripheral neuropathy.

",1179.0
86,15882093,t,"Neuronal Migration and Ventral Subtype Identity in the Telencephalon Depend on SOX1
",
